,New Book Name,ID,Link,Budget,Gross,Opening,Release Date,Awards List,Book Name,Characters,Genres,Num_reviews,Other editions,Pages,Star votes,Stars,publish_date,Award Count,Num Characters
0,'Salem's Lot,tt0079844,http://www.imdb.com/title/tt0079844/,4000000,,,,"
World Fantasy Award Nominee for Best Novel (1976)
",'Salem's Lot,"[Benjamin Mears, Susan Norton, Matt Burke, Mark Petrie, Father Donald Callahan, Mike Ryerson, Dr James Cody, Richard Throckett Straker, Danny Glick, Larry Crockett, Sonny James, Charles Boone, Loretta Starcher, Weasel Craig, Larry McLeod, Joe Crane, June Petrie, Hal Griffen, Dud Rogers, Cynthia Stowens, Buddy Bascomb, Nolly Gardener, Tookey, Miss Coogan, Royal Snow, Harriet Durham]","[Paranormal, Vampires, Thriller, Horror, Fantasy, Paranormal, Fantasy, Supernatural]",5574.0,200.0,483 pages,"[81487, 84672, 54795, 11309, 2628]",3.98,October 17th 1975,1.0,26.0
1,1776,tt0068156,http://www.imdb.com/title/tt0068156/,4000000,6104000,,17 November 1972,,1776,"[George Washington, Thomas Jefferson, John Adams, Benjamin Franklin, George III of the United Kingdom]","[History, Nonfiction, North American Hi..., American History, Historical, War]",5650.0,37.0,386 pages,"[45168, 46254, 20715, 4737, 2591]",4.06,2005,0.0,5.0
2,1984,tt0087803,http://www.imdb.com/title/tt0087803/,,8400000,,22 March 1985,"
Prometheus Hall of Fame Award (1984), Locus Award Nominee for All-Time Best Science Fiction Novel (1987)
",1984,"[Winston Smith, Big Brother, O'Brien, Emmanuel Goldstein, Tom Parsons, Syme, Julia]","[Science Fiction, Dystopia, Literature, Academic, School, Fantasy, Adult, Novels, Philosophy]",39407.0,841.0,328 pages,"[825299, 638670, 305479, 81672, 39102]",4.13,June 8th 1949,2.0,7.0
3,"20,000 Leagues Under the Sea",tt0046672,http://www.imdb.com/title/tt0046672/,5000000,17440000,,23 December 1954,,"20,000 Leagues Under the Sea",[],"[Classics, Fiction, Science Fiction, Adventure]",89.0,45.0,236 pages,"[1080, 1127, 677, 155, 64]",3.97,May 1st 1948,0.0,0.0
4,2001: A Space Odyssey,tt0062622,http://www.imdb.com/title/tt0062622/,12000000,56954992,,,,2001: A Space Odyssey (Space Odyssey #1),"[Heywood Floyd, HAL 9000, Dave Bowman, Frank Poole]","[Science Fiction, Fiction, Classics]",3339.0,207.0,297 pages,"[65320, 62634, 30375, 6056, 1916]",4.1,April 28th 1968,0.0,4.0
5,300,tt0416449,http://www.imdb.com/title/tt0416449/,65000000,210614939,70885301.0,9 March 2007,"
Harvey Awards for Best Continuing or Limited Series & Best Colorist (for Lynn Varley) (1999), Will Eisner Comic Industry Awards for Best Publication Design (in 2000 awards), Best Limited Series, Best Writer/Artist (for Frank Miller), Best Coloring (for Lynn Varley) (1999)
",300,"[Leonidas, Xerxes I of Persia]","[Sequential Art, Graphic Novels, Sequential Art, Comics, Historical Fiction, Fiction, Graphic Novels Comics]",663.0,30.0,117 pages,"[13065, 12839, 8658, 2245, 870]",3.93,1998,5.0,2.0
6,4:50 from Paddington,tt0092497,http://www.imdb.com/title/tt0092497/,,,,,,4:50 from Paddington (Miss Marple #8),"[Lucy Eyelesbarrow, Jane Marple]","[Mystery, Mystery, Crime, Fiction, Classics, Mystery, Detective]",1099.0,211.0,288 pages,"[7007, 11047, 7229, 860, 109]",3.91,November 1957,0.0,2.0
7,52 Pick Up,tt0090567,http://www.imdb.com/title/tt0090567/,,5186646,1654835.0,7 November 1986,,52 Pick Up,[],"[Mystery, Crime, Fiction, Mystery, Thriller, Suspense, Mystery, Noir, Thriller, Mystery Thriller, Mystery, Detective, Literary Fiction, Politics]",187.0,29.0,192 pages,"[1611, 2446, 1374, 188, 53]",3.95,1974,0.0,0.0
8,A Beautiful Mind,tt0268978,http://www.imdb.com/title/tt0268978/,58000000,170708996,2501096.0,4 January 2002,"
Royal Society Science Book Prize Nominee for General Prize (1999), Pulitzer Prize Nominee for Biography or Autobiography (1999), Audie Award for Nonfiction, Abridged (2003), National Book Critics Circle Award for Biography/Autobiography (1998)
",A Beautiful Mind,[],"[Biography, Nonfiction, Psychology, Science]",1020.0,57.0,461 pages,"[37297, 33854, 15558, 3168, 1828]",4.11,June 12th 1998,5.0,0.0
9,A Bend in the Road,tt2235532,http://www.imdb.com/title/tt2235532/,,,,,,A Bend in the Road,"[Miles Ryan, Sarah Andrews, Jonah Ryan]","[Romance, Fiction, Womens Fiction, Chick Lit, Contemporary]",3234.0,103.0,341 pages,"[43665, 41029, 26407, 5452, 1390]",4.02,2001,0.0,3.0
10,A Christmas Carol,tt1067106,http://www.imdb.com/title/tt1067106/,200000000,137850096,30051075.0,6 November 2009,"
Audie Award for Classic (2005)
",A Christmas Carol,"[Timothy Cratchit, Bob Cratchit, Jacob Marley, Ebenezer Scrooge]","[Classics, Fiction, Holiday, Christmas, Fantasy, Literature, Historical Fiction, Literature, 19th Century, Holiday, Academic, School, Classics, Classic Literature]",10226.0,1829.0,104 pages,"[148028, 139974, 86693, 19848, 6121]",4.01,1843,1.0,4.0
11,A Civil Action,tt0120633,http://www.imdb.com/title/tt0120633/,75000000,56702901,15163484.0,8 January 1999,"
National Book Critics Circle Award (1995), American Bar Association Silver Gavel Award for Books (1996), National Book Award Finalist for Nonfiction (1995)
",A Civil Action,[],"[Nonfiction, Law, History]",671.0,27.0,512 pages,"[3311, 4914, 2844, 477, 93]",3.93,1995,3.0,0.0
