,New Book Name,ID,Link,Budget,Gross,Opening,Release Date,Awards List,Book Name,Characters,Genres,Num_reviews,Other editions,Pages,Star votes,Stars,publish_date,Award Count,Num Characters
12,A Clockwork Orange,tt0066921,http://www.imdb.com/title/tt0066921/,2200000,26589355,,2 February 1972,"
Prometheus Hall of Fame Award (2008)
",A Clockwork Orange,"[Pete, Alex, Georgie, Dim]","[Science Fiction, Science Fiction, Dystopia, Classics, Literature, Novels, Horror, European Literature, British Literature, Classics, Modern Classics, Adult]",9134.0,256.0,192 pages,"[157694, 154462, 80816, 23134, 14232]",3.97,December 1962,1.0,4.0
13,A Farewell to Arms,tt0022879,http://www.imdb.com/title/tt0022879/,800000,,,8 December 1932,,A Farewell to Arms,"[Frederic Henry, Catherine Barkley]","[Classics, Historical Fiction, War, Novels, Literature, American, Fiction, Romance]",6693.0,390.0,293 pages,"[53664, 72466, 47642, 15275, 5898]",3.78,1929,0.0,2.0
14,A Game of Thrones,tt4332582,http://www.imdb.com/title/tt4332582/,,,,29 October 2014,"
Nebula Award Nominee for Best Novel (1997), Locus Award for Best Fantasy Novel (1997), World Fantasy Award Nominee for Best Novel (1997), Ignotus for Novela extranjera (2003)
",A Game of Thrones (A Song of Ice and Fire #1),"[Brandon Stark, Catelyn Stark, Tyrion Lannister, Daenerys Targaryen, Eddard Stark, Jon Snow, Theon Greyjoy, Robb Stark, Arya Stark, Jaime Lannister, Cersei Lannister, Joffrey Baratheon, Robert Baratheon, Tywin Lannister, Lysa Arryn, Petyr Baelish, Sansa Stark, Viserys Targaryen, Varys, Hodor, Jorah Mormont]","[Fantasy, Fiction, Fantasy, Epic Fantasy]",44265.0,260.0,835 pages,"[787484, 371198, 104658, 26310, 17989]",4.44,August 6th 1996,4.0,21.0
15,A Girl of the Limberlost,tt0099662,http://www.imdb.com/title/tt0099662/,,,,,,A Girl of the Limberlost (Limberlost #2),[Elnora Comstock],"[Classics, Young Adult, Historical Fiction, Childrens, Romance, Historical, Fiction, Environment, Nature, Young Adult, Coming Of Age, Novels]",1173.0,172.0,222 pages,"[6383, 4900, 2618, 595, 210]",4.13,1909,0.0,1.0
16,A Good Year,tt0401445,http://www.imdb.com/title/tt0401445/,35000000,7458269,3721526.0,10 November 2006,,A Good Year,[],"[Travel, Cultural, France, Fiction, Romance, Food and Drink, Food]",659.0,43.0,287 pages,"[1094, 2005, 2026, 541, 94]",3.6,March 4th 2004,0.0,0.0
17,A History of Violence,tt0399146,http://www.imdb.com/title/tt0399146/,32000000,31493782,515992.0,30 September 2005,,A History of Violence (Panini Noir),[],"[Sequential Art, Graphic Novels, Sequential Art, Comics, Fiction, Mystery, Crime, Comics, Comic Book, Graphic Novels Comics]",202.0,13.0,286 pages,"[235, 650, 703, 221, 50]",3.43,1997,0.0,0.0
18,A Home at the End of the World,tt0359423,http://www.imdb.com/title/tt0359423/,6500000,1029872,64728.0,,"
Stonewall Book Award Nominee for Literature (1991), Lambda Literary Award Nominee for Gay Men's Fiction (1990)
",A Home at the End of the World,[],"[Fiction, Glbt, Glbt, Gay, Glbt, Queer, Novels, Romance, Contemporary, Literature, American, Literary Fiction, Literature]",740.0,61.0,352 pages,"[4283, 5388, 3444, 863, 245]",3.89,1990,2.0,0.0
19,A Kiss Before Dying,tt0102220,http://www.imdb.com/title/tt0102220/,,15429177,4348165.0,26 April 1991,"
Edgar Award for Best First Novel (1954)
",A Kiss Before Dying,[Bud Corliss],"[Mystery, Fiction, Thriller, Mystery, Crime, Classics, Suspense]",542.0,70.0,304 pages,"[1589, 2274, 1341, 246, 67]",3.92,1953,1.0,1.0
20,A Little Princess,tt0113670,http://www.imdb.com/title/tt0113670/,17000000,10019307,,19 May 1995,,A Little Princess,"[Becky Denning, Sara Crewe, Ralph Crewe, Maria Minchin, Ermengarde St. John]","[Classics, Fiction, Childrens, Young Adult]",4692.0,665.0,242 pages,"[88283, 67434, 32534, 5506, 2092]",4.2,1902,0.0,5.0
21,A Living Nightmare,tt4032712,http://www.imdb.com/title/tt4032712/,,,,,,A Living Nightmare (Cirque du Freak #1),[Darren Shan],"[Fantasy, Young Adult, Paranormal, Vampires, Horror, Fantasy, Paranormal, Fiction]",2802.0,79.0,272 pages,"[16890, 12972, 8152, 2140, 622]",4.06,2000,0.0,1.0
22,A Midsummer Night's Dream,tt0140379,http://www.imdb.com/title/tt0140379/,11000000,16071990,4285620.0,14 May 1999,,A Midsummer Night's Dream,"[Robin Goodfellow, a Puck, Demetrius, Hermia, Lysander, Helena, Theseus, Peaseblossom, Moth, Cobweb, Mustardseed, Oberon, Titania, Egeus, Philostrate, Peter Quince, Snug, Nick Bottom, Francis Flute, Tom Snout, Robin Starveling, Hippolyta]","[Classics, Plays, Fiction, Drama, Fantasy, Academic, School, Romance, Literature, Plays, Theatre, Poetry]",5205.0,1243.0,204 pages,"[112406, 121433, 79337, 19247, 5138]",3.94,1595,0.0,22.0
23,A Month in the Country,tt0093562,http://www.imdb.com/title/tt0093562/,,443524,,,"
Man Booker Prize Nominee (1980), Guardian Fiction Award (1980)
",A Month in the Country,[],"[Fiction, Historical Fiction, Classics, European Literature, British Literature, Art]",604.0,37.0,135 pages,"[1427, 1530, 730, 162, 30]",4.07,1980,2.0,0.0
24,A Passage to India,tt0087892,http://www.imdb.com/title/tt0087892/,16000000,27187653,84580.0,1 February 1985,"
James Tait Black Memorial Prize for Fiction (1924), Prix Femina Vie Heureuse Anglais (1925)
",A Passage to India,[Adela Quested],"[Classics, Fiction, Cultural, India, Historical Fiction]",2294.0,182.0,376 pages,"[10665, 17831, 14098, 4489, 1454]",3.65,1924,2.0,1.0
25,A Patch of Blue,tt0059573,http://www.imdb.com/title/tt0059573/,800000,,,10 December 1965,,A Patch of Blue,[],"[Fiction, Classics, Young Adult, Romance, Novels]",84.0,12.0,142 pages,"[257, 289, 197, 42, 15]",3.91,1961,0.0,0.0
26,A Ring of Endless Light,tt0282123,http://www.imdb.com/title/tt0282123/,,,,,"
Newbery Honor (1981), Dorothy Canfield Fisher Children's Book Award Nominee (1982)
",A Ring of Endless Light (Austin Family #5),"[Vicky Austin, Adam Eddington, Zachary Grey]","[Young Adult, Fiction, Fantasy, Childrens]",618.0,20.0,332 pages,"[6909, 5506, 3124, 578, 142]",4.14,May 1st 1980,2.0,3.0
27,A River Runs Through It,tt0105265,http://www.imdb.com/title/tt0105265/,,43440294,,30 October 1992,,A River Runs Through It,[],"[Fiction, Classics, Literature, Historical Fiction, Short Stories]",250.0,25.0,168 pages,"[1781, 1411, 660, 201, 60]",4.13,May 1976,0.0,0.0
28,A Room with a View,tt0091867,http://www.imdb.com/title/tt0091867/,3000000,15905912,42970.0,,,A Room with a View,"[Lucy Honeychurch, Charlotte Bartlett, George Emerson, Mr. Emerson, Reverend Arthur Beebe, Eleanor Lavish, Cecil Vyse, Frederick Finney]","[Classics, Fiction, Romance, Literature, Historical Fiction]",3667.0,500.0,240 pages,"[36869, 43638, 27496, 6893, 2038]",3.91,1908,0.0,8.0
29,A Scanner Darkly,tt0405296,http://www.imdb.com/title/tt0405296/,8700000,5501616,391672.0,28 July 2006,"
British Science Fiction Association Award for Novel (1978), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1978), Graoully d'Or for Roman étranger (1979), Tähtivaeltaja Award (1991)
",A Scanner Darkly,"[Bob Arctor, Donna Hawthorne, Ernie Luckman, Jim Barris, Charles Freck]","[Fiction, Science Fiction, Science Fiction, Dystopia, Science Fiction Fantasy, Novels, Classics, Science Fiction, Cyberpunk, Fantasy, Speculative Fiction, Literature, American]",1994.0,89.0,219 pages,"[20482, 22734, 11462, 2387, 719]",4.04,1977,4.0,5.0
30,A Simple Plan,tt0120324,http://www.imdb.com/title/tt0120324/,30000000,16311763,3422072.0,22 January 1999,"
Martin Beck Award (1995), Kono Mystery ga Sugoi for Best Translated Mystery Novel of the Year in Japan (1995)
",A Simple Plan,"[Hank, Jacob, Sara, Lou]","[Fiction, Thriller, Mystery, Mystery, Crime, Suspense, Thriller, Mystery Thriller, Horror, Novels, Contemporary, Adult]",913.0,45.0,432 pages,"[5553, 7098, 3905, 990, 421]",3.91,1993,2.0,4.0
31,A Single Man,tt1315981,http://www.imdb.com/title/tt1315981/,7000000,9166863,217332.0,5 February 2010,,A Single Man,"[George Falconer, Kenny Potter, Charley, Jim]","[Fiction, Glbt, Classics, Glbt, Gay]",1179.0,59.0,192 pages,"[6510, 5937, 2739, 644, 279]",4.1,1964,0.0,4.0
32,A Streetcar Named Desire,tt0044081,http://www.imdb.com/title/tt0044081/,1800000,8000000,,,"
Pulitzer Prize for Drama (1948)
",A Streetcar Named Desire,"[Blanche DuBois, Stanley Kowalski, Stella Kowalski, Harold Mitchel, Eunice Hubbel, Steve Hubbel, Pablo Gonzales, Negro Woman]","[Plays, Classics, Drama, Fiction, Academic, School]",2509.0,105.0,142 pages,"[64875, 68328, 41639, 10415, 3003]",3.96,1947,1.0,8.0
33,A Tale of Two Cities,tt0027075,http://www.imdb.com/title/tt0027075/,,,,25 December 1935,,A Tale of Two Cities,"[Sydney Carton, Charles Darnay, Lucie Manette, Madame Therese Defarge, Dr. Alexandre Manette]","[Classics, Fiction, Historical Fiction, Literature, Historical, Academic, School, Novels, Classics, Classic Literature, European Literature, British Literature, Literature, 19th Century]",12264.0,1689.0,489 pages,"[209361, 204365, 146777, 53632, 27885]",3.8,1859,0.0,5.0
34,A Thousand Acres,tt0120323,http://www.imdb.com/title/tt0120323/,,7928412,2931762.0,19 September 1997,"
Pulitzer Prize for Fiction (1992), Ambassador Book Award for Fiction (1992), Chicago Tribune Heartland Prize for Fiction (1991), National Book Critics Circle Award for Fiction (1991), Society of Midland Authors Award for Fiction (1992)
",A Thousand Acres,[],"[Fiction, Literary Fiction, Contemporary]",2110.0,45.0,371 pages,"[12358, 18014, 12072, 3446, 1211]",3.78,1991,5.0,0.0
35,A Time to Kill,tt0117913,http://www.imdb.com/title/tt0117913/,40000000,108706165,19630000.0,24 July 1996,,A Time to Kill (Lucien Wilbanks),"[Jake Brigance, Carl Lee Hailey]","[Fiction, Mystery, Thriller, Mystery, Crime, Suspense, Thriller, Legal Thriller]",3978.0,153.0,515 pages,"[214589, 208292, 119077, 25413, 11880]",4.02,1989,0.0,2.0
36,A Tree Grows in Brooklyn,tt0038190,http://www.imdb.com/title/tt0038190/,,,,,"
Audie Award for Classic (2002)
",A Tree Grows in Brooklyn,"[Francie Nolan, Neeley Nolan, Katie Nolan, Johnny Nolan, Mary Rommely, Sissy Rommely, Eva ""Evy"" Rommely Flittman, Thomas Rommely]","[Classics, Historical Fiction, Young Adult, Fiction]",15321.0,32.0,496 pages,"[139822, 99491, 42140, 9357, 3597]",4.23,1943,1.0,8.0
37,A Very Long Engagement,tt0344510,http://www.imdb.com/title/tt0344510/,47000000,6167817,101749.0,14 January 2005,"
Prix Interallié (1991)
",A Very Long Engagement,[],"[Historical Fiction, Cultural, France, War, Romance, War, World War I, Fiction, Historical, Mystery]",420.0,44.0,327 pages,"[1312, 1872, 1076, 250, 81]",3.89,1991,1.0,0.0
38,A Walk to Remember,tt0281358,http://www.imdb.com/title/tt0281358/,11000000,41227069,12177488.0,25 January 2002,"
Iowa High School Book Award (2004)
",A Walk to Remember,"[Landon Carter, Jamie Sullivan]","[Romance, Fiction, Womens Fiction, Chick Lit, Young Adult, Contemporary]",10611.0,124.0,240 pages,"[250808, 163433, 91294, 23385, 10352]",4.15,1999,1.0,2.0
39,A Year in Provence,tt0108993,http://www.imdb.com/title/tt0108993/,,,,,"
Prix des libraires du Québec for Lauréats hors Québec (1995)
",A Year in Provence (Provence #1),[],"[Travel, Nonfiction, Autobiography, Memoir, Cultural, France, Food and Drink, Food, Biography, Humor, Biography Memoir, Biography, Autobiography, Adult]",2188.0,68.0,207 pages,"[14417, 17964, 11026, 2244, 619]",3.94,1989,1.0,0.0
40,About a Boy,tt0276751,http://www.imdb.com/title/tt0276751/,30000000,40566655,8557630.0,17 May 2002,,About a Boy,"[Will Burrows, Fiona Waters, Ellie]","[Fiction, Contemporary, Humor, European Literature, British Literature]",2659.0,131.0,307 pages,"[22961, 47972, 31338, 5483, 1081]",3.79,1998,0.0,3.0
41,Abraham Lincoln: Vampire Hunter,tt1611224,http://www.imdb.com/title/tt1611224/,69000000,37516013,16306974.0,22 June 2012,"
Goodreads Choice Award Nominee for Paranormal Fantasy (2010)
",Abraham Lincoln: Vampire Hunter (Abraham Lincoln: Vampire Hunter #1),"[Abraham Lincoln, John Wilkes Booth, Mary Todd Lincoln, Henry Sturges]","[Fiction, Historical Fiction, Fantasy, Horror, Paranormal, Vampires, Fantasy, Paranormal, Historical]",11713.0,59.0,336 pages,"[28954, 40951, 30769, 10139, 4278]",3.7,February 16th 2010,1.0,4.0
42,Absolute Beginners,tt0090585,http://www.imdb.com/title/tt0090585/,,909960,83743.0,18 April 1986,,Absolute Beginners (London Trilogy #2),[],"[Fiction, European Literature, British Literature, Music, Novels, Classics, Historical Fiction, Literature, 20th Century, Literature, Literary Fiction, Young Adult]",106.0,23.0,203 pages,"[211, 391, 297, 82, 28]",3.67,1959,0.0,0.0
43,Absolute Power,tt0118548,http://www.imdb.com/title/tt0118548/,50000000,50007168,16770220.0,14 February 1997,,Absolute Power,"[Luther Whitney, Kate Whitney, President Alan Richmond, Christy Sullivan, Walter Sullivan, Bill Burton, Tim Collin, Gloria Russell, Seth Frank, Sandy Lord, Jack Graham]","[Fiction, Thriller, Mystery, Suspense, Mystery, Crime]",1226.0,96.0,550 pages,"[27412, 29042, 12543, 1682, 544]",4.14,October 4th 1995,0.0,11.0
