,New Book Name,ID,Link,Budget,Gross,Opening,Release Date,Awards List,Book Name,Characters,Genres,Num_reviews,Other editions,Pages,Star votes,Stars,publish_date,Award Count,Num Characters,Star_count_5,Star_count_4,Star_count_3,Star_count_2,Star_count_1,Star_count_total,Genre_Fiction,Genre_Fantasy,Genre_Classics,Genre_Mystery,Genre_Young Adult,Genre_Romance,Genre_Literature,Genre_Historical Fiction,Genre_Thriller,Genre_Childrens,Genre_Science Fiction,Genre_Novels,Genre_Contemporary,Genre_Adventure,Genre_Crime,Genre_Cultural,Genre_Sequential Art,Genre_Historical,Genre_Humor,Genre_Horror,Genre_Paranormal,Genre_Nonfiction,Genre_War,Genre_European Literature,Genre_Biography,Genre_Womens Fiction,Genre_Suspense,Genre_Chick Lit,Genre_Adult,Genre_Autobiography,Genre_History,Time Diff
10,A Christmas Carol,tt1067106,http://www.imdb.com/title/tt1067106/,200000000,137850096,30051075.0,2009-11-06,"
Audie Award for Classic (2005)
",A Christmas Carol,"[Timothy Cratchit, Bob Cratchit, Jacob Marley, Ebenezer Scrooge]","[Classics, Fiction, Holiday, Christmas, Fantasy, Literature, Historical Fiction, Literature, 19th Century, Holiday, Academic, School, Classics, Classic Literature]",10226.0,1829.0,104.0,"[148028, 139974, 86693, 19848, 6121]",4.01,1843-12-13 00:00:00,1.0,4.0,6121.0,19848.0,86693.0,139974.0,148028.0,400664.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60594 days 00:00:00.000000000
11,A Civil Action,tt0120633,http://www.imdb.com/title/tt0120633/,75000000,56702901,15163484.0,1999-01-08,"
National Book Critics Circle Award (1995), American Bar Association Silver Gavel Award for Books (1996), National Book Award Finalist for Nonfiction (1995)
",A Civil Action,[],"[Nonfiction, Law, History]",671.0,27.0,512.0,"[3311, 4914, 2844, 477, 93]",3.93,1995-12-13,3.0,0.0,93.0,477.0,2844.0,4914.0,3311.0,11639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1122 days 00:00:00.000000000
12,A Clockwork Orange,tt0066921,http://www.imdb.com/title/tt0066921/,2200000,26589355,,1972-02-02,"
Prometheus Hall of Fame Award (2008)
",A Clockwork Orange,"[Pete, Alex, Georgie, Dim]","[Science Fiction, Science Fiction, Dystopia, Classics, Literature, Novels, Horror, European Literature, British Literature, Classics, Modern Classics, Adult]",9134.0,256.0,192.0,"[157694, 154462, 80816, 23134, 14232]",3.97,2062-12-13,1.0,4.0,14232.0,23134.0,80816.0,154462.0,157694.0,430338.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-33187 days +00:00:00.000000000
13,A Farewell to Arms,tt0022879,http://www.imdb.com/title/tt0022879/,800000,,,1932-12-08,,A Farewell to Arms,"[Frederic Henry, Catherine Barkley]","[Classics, Historical Fiction, War, Novels, Literature, American, Fiction, Romance]",6693.0,390.0,293.0,"[53664, 72466, 47642, 15275, 5898]",3.78,1929-12-13,0.0,2.0,5898.0,15275.0,47642.0,72466.0,53664.0,194945.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091 days 00:00:00.000000000
14,A Game of Thrones,tt4332582,http://www.imdb.com/title/tt4332582/,,,,2014-10-29,"
Nebula Award Nominee for Best Novel (1997), Locus Award for Best Fantasy Novel (1997), World Fantasy Award Nominee for Best Novel (1997), Ignotus for Novela extranjera (2003)
",A Game of Thrones (A Song of Ice and Fire #1),"[Brandon Stark, Catelyn Stark, Tyrion Lannister, Daenerys Targaryen, Eddard Stark, Jon Snow, Theon Greyjoy, Robb Stark, Arya Stark, Jaime Lannister, Cersei Lannister, Joffrey Baratheon, Robert Baratheon, Tywin Lannister, Lysa Arryn, Petyr Baelish, Sansa Stark, Viserys Targaryen, Varys, Hodor, Jorah Mormont]","[Fantasy, Fiction, Fantasy, Epic Fantasy]",44265.0,260.0,835.0,"[787484, 371198, 104658, 26310, 17989]",4.44,1996-08-06,4.0,21.0,17989.0,26310.0,104658.0,371198.0,787484.0,1307639.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6658 days 00:00:00.000000000
15,A Girl of the Limberlost,tt0099662,http://www.imdb.com/title/tt0099662/,,,,,,A Girl of the Limberlost (Limberlost #2),[Elnora Comstock],"[Classics, Young Adult, Historical Fiction, Childrens, Romance, Historical, Fiction, Environment, Nature, Young Adult, Coming Of Age, Novels]",1173.0,172.0,222.0,"[6383, 4900, 2618, 595, 210]",4.13,1909-12-13,0.0,1.0,210.0,595.0,2618.0,4900.0,6383.0,14706.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,A Good Year,tt0401445,http://www.imdb.com/title/tt0401445/,35000000,7458269,3721526.0,2006-11-10,,A Good Year,[],"[Travel, Cultural, France, Fiction, Romance, Food and Drink, Food]",659.0,43.0,287.0,"[1094, 2005, 2026, 541, 94]",3.6,2004-03-04,0.0,0.0,94.0,541.0,2026.0,2005.0,1094.0,5760.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981 days 00:00:00.000000000
17,A History of Violence,tt0399146,http://www.imdb.com/title/tt0399146/,32000000,31493782,515992.0,2005-09-30,,A History of Violence (Panini Noir),[],"[Sequential Art, Graphic Novels, Sequential Art, Comics, Fiction, Mystery, Crime, Comics, Comic Book, Graphic Novels Comics]",202.0,13.0,286.0,"[235, 650, 703, 221, 50]",3.43,1997-12-13,0.0,0.0,50.0,221.0,703.0,650.0,235.0,1859.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2848 days 00:00:00.000000000
18,A Home at the End of the World,tt0359423,http://www.imdb.com/title/tt0359423/,6500000,1029872,64728.0,,"
Stonewall Book Award Nominee for Literature (1991), Lambda Literary Award Nominee for Gay Men's Fiction (1990)
",A Home at the End of the World,[],"[Fiction, Glbt, Glbt, Gay, Glbt, Queer, Novels, Romance, Contemporary, Literature, American, Literary Fiction, Literature]",740.0,61.0,352.0,"[4283, 5388, 3444, 863, 245]",3.89,1990-12-13,2.0,0.0,245.0,863.0,3444.0,5388.0,4283.0,14223.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,A Kiss Before Dying,tt0102220,http://www.imdb.com/title/tt0102220/,,15429177,4348165.0,1991-04-26,"
Edgar Award for Best First Novel (1954)
",A Kiss Before Dying,[Bud Corliss],"[Mystery, Fiction, Thriller, Mystery, Crime, Classics, Suspense]",542.0,70.0,304.0,"[1589, 2274, 1341, 246, 67]",3.92,1953-12-13,1.0,1.0,67.0,246.0,1341.0,2274.0,1589.0,5517.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13648 days 00:00:00.000000000
