The Two Towers	tt0167261	http://www.imdb.com/title/tt0167261/business	94000000	342551365	727645	18 December 2002
Bridget Jones's Diary	tt0243155	http://www.imdb.com/title/tt0243155/business	25000000	71500556	10733933	13 April 2001
1984	tt0087803	http://www.imdb.com/title/tt0087803/business		8400000		22 March 1985
P.S. I Love You	tt0431308	http://www.imdb.com/title/tt0431308/business	30000000	53695808	9283468	21 December 2007
White Oleander	tt0283139	http://www.imdb.com/title/tt0283139/business	16000000	16346122	5607480	11 October 2002
Where the Heart Is	tt0198021	http://www.imdb.com/title/tt0198021/business	15000000	33771174	8292939	28 April 2000
The Stand	tt0108941	http://www.imdb.com/title/tt0108941/business	28000000			
The Princess Bride	tt0093779	http://www.imdb.com/title/tt0093779/business	16000000	24650738	206243	9 October 1987
Stardust	tt0486655	http://www.imdb.com/title/tt0486655/business	70000000	38634938	9169779	10 August 2007
Girl With a Pearl Earring	tt0335119	http://www.imdb.com/title/tt0335119/business		11634362	89472	30 January 2004
A Walk to Remember	tt0281358	http://www.imdb.com/title/tt0281358/business	11000000	41227069	12177488	25 January 2002
The Mists of Avalon	tt0244353	http://www.imdb.com/title/tt0244353/business	20000000			
The Lovely Bones	tt0380510	http://www.imdb.com/title/tt0380510/business	65000000	43818839	116616	15 January 2010
Pet Sematary	tt0098084	http://www.imdb.com/title/tt0098084/business	11500000	57469179	12046179	21 April 1989
Running with Scissors	tt0439289	http://www.imdb.com/title/tt0439289/business	12000000	6754898	226108	27 October 2006
Sense and Sensibility	tt0114388	http://www.imdb.com/title/tt0114388/business	16000000	43182776		26 January 1996
Perfume: The Story of a Murderer	tt0396171	http://www.imdb.com/title/tt0396171/business		2208939	55527	5 January 2007
Stuart Little	tt0164912	http://www.imdb.com/title/tt0164912/business	133000000	140015224	15018223	17 December 1999
The Clan of the Cave Bear	tt0090848	http://www.imdb.com/title/tt0090848/business	15000000	1951794	25428	17 January 1986
Misery	tt0100157	http://www.imdb.com/title/tt0100157/business	20000000	61276872	10076834	30 November 1990
Breaking Dawn	tt0366518	http://www.imdb.com/title/tt0366518/business				16 October 2004
The Hobbit	tt0077687	http://www.imdb.com/title/tt0077687/business	3000000	5000000000	100000000	
The Joy Luck Club	tt0107282	http://www.imdb.com/title/tt0107282/business	11000000	32861136		29 October 1993
Blood and Chocolate	tt0397044	http://www.imdb.com/title/tt0397044/business	15000000	3517928	2074300	26 January 2007
Great Expectations	tt0119223	http://www.imdb.com/title/tt0119223/business	25000000	26333044	9593290	30 January 1998
Where the Wild Things Are	tt0386117	http://www.imdb.com/title/tt0386117/business	100000000	77222184	32695407	16 October 2009
Dracula	tt0021814	http://www.imdb.com/title/tt0021814/business	355000			14 February 1931
Dune	tt0087182	http://www.imdb.com/title/tt0087182/business	40000000	30925690		14 December 1984
Timeline	tt0300556	http://www.imdb.com/title/tt0300556/business	80000000	19480739	8440629	26 November 2003
Bridget Jones: The Edge of Reason	tt0317198	http://www.imdb.com/title/tt0317198/business	40000000	40203020	8684055	19 November 2004
Howl's Moving Castle	tt0347149	http://www.imdb.com/title/tt0347149/business	24000000	4710455	427987	17 June 2005
The Nanny Diaries	tt0489237	http://www.imdb.com/title/tt0489237/business	20000000	25925170	7480927	24 August 2007
The Great Gatsby	tt1343092	http://www.imdb.com/title/tt1343092/business	105000000	144812796	50085184	10 May 2013
Lord of the Flies	tt0100054	http://www.imdb.com/title/tt0100054/business		13985225		16 March 1990
The Bourne Identity	tt0258463	http://www.imdb.com/title/tt0258463/business	60000000	121661683	27118640	14 June 2002
